image,object_id,sep_type,orientation,point_id,x_px,y_px,width_px,width_mm,distance_to_reference_px,distance_to_reference_mm
Multimedia (32).jpg,1,gap,vertical,1,298.0,166.0,36.0,36.0,1222.0,1222.0
Multimedia (32).jpg,1,gap,vertical,2,298.0,217.44,36.0,36.0,1170.56,1170.56
Multimedia (32).jpg,1,gap,vertical,3,298.0,268.89,36.0,36.0,1119.11,1119.11
Multimedia (32).jpg,1,gap,vertical,4,298.0,320.33,36.0,36.0,1067.67,1067.67
Multimedia (32).jpg,1,gap,vertical,5,298.0,371.78,36.0,36.0,1016.22,1016.22
Multimedia (32).jpg,1,gap,vertical,6,298.0,423.22,36.0,36.0,964.78,964.78
Multimedia (32).jpg,1,gap,vertical,7,298.0,474.67,36.0,36.0,913.33,913.33
Multimedia (32).jpg,1,gap,vertical,8,298.0,526.11,36.0,36.0,861.89,861.89
Multimedia (32).jpg,1,gap,vertical,9,298.0,577.56,36.0,36.0,810.44,810.44
Multimedia (32).jpg,1,gap,vertical,10,298.0,629.0,36.0,36.0,759.0,759.0
