image,object_id,sep_type,orientation,point_id,x_px,y_px,width_px,width_mm,distance_to_reference_px,distance_to_reference_mm
Multimedia (40).jpg,1,gap,vertical,1,357.0,156.0,28.0,28.0,969.0,969.0
Multimedia (40).jpg,1,gap,vertical,2,357.0,195.0,28.0,28.0,930.0,930.0
Multimedia (40).jpg,1,gap,vertical,3,357.0,234.0,28.0,28.0,891.0,891.0
Multimedia (40).jpg,1,gap,vertical,4,357.0,273.0,28.0,28.0,852.0,852.0
Multimedia (40).jpg,1,gap,vertical,5,357.0,312.0,28.0,28.0,813.0,813.0
Multimedia (40).jpg,1,gap,vertical,6,357.0,351.0,28.0,28.0,774.0,774.0
Multimedia (40).jpg,1,gap,vertical,7,357.0,390.0,28.0,28.0,735.0,735.0
Multimedia (40).jpg,1,gap,vertical,8,357.0,429.0,28.0,28.0,696.0,696.0
Multimedia (40).jpg,1,gap,vertical,9,357.0,468.0,28.0,28.0,657.0,657.0
Multimedia (40).jpg,1,gap,vertical,10,357.0,507.0,28.0,28.0,618.0,618.0
Multimedia (40).jpg,2,gap,vertical,1,365.0,590.0,26.0,26.0,535.0,535.0
Multimedia (40).jpg,2,gap,vertical,2,365.0,637.11,26.0,26.0,487.89,487.89
Multimedia (40).jpg,2,gap,vertical,3,365.0,684.22,26.0,26.0,440.78,440.78
Multimedia (40).jpg,2,gap,vertical,4,365.0,731.33,26.0,26.0,393.67,393.67
Multimedia (40).jpg,2,gap,vertical,5,365.0,778.44,26.0,26.0,346.56,346.56
Multimedia (40).jpg,2,gap,vertical,6,365.0,825.56,26.0,26.0,299.44,299.44
Multimedia (40).jpg,2,gap,vertical,7,365.0,872.67,26.0,26.0,252.33,252.33
Multimedia (40).jpg,2,gap,vertical,8,365.0,919.78,26.0,26.0,205.22,205.22
Multimedia (40).jpg,2,gap,vertical,9,365.0,966.89,26.0,26.0,158.11,158.11
Multimedia (40).jpg,2,gap,vertical,10,365.0,1014.0,26.0,26.0,111.0,111.0
