image,object_id,sep_type,orientation,point_id,x_px,y_px,height_px,height_mm,distance_to_reference_px,distance_to_reference_mm
Multimedia (47).jpg,1,gap,horizontal,1,224.0,1067.0,60.0,60.0,340.0,340.0
Multimedia (47).jpg,1,gap,horizontal,2,270.89,1067.0,60.0,60.0,340.0,340.0
Multimedia (47).jpg,1,gap,horizontal,3,317.78,1067.0,60.0,60.0,340.0,340.0
Multimedia (47).jpg,1,gap,horizontal,4,364.67,1067.0,60.0,60.0,340.0,340.0
Multimedia (47).jpg,1,gap,horizontal,5,411.56,1067.0,60.0,60.0,340.0,340.0
Multimedia (47).jpg,1,gap,horizontal,6,458.44,1067.0,60.0,60.0,340.0,340.0
Multimedia (47).jpg,1,gap,horizontal,7,505.33,1067.0,60.0,60.0,340.0,340.0
Multimedia (47).jpg,1,gap,horizontal,8,552.22,1067.0,60.0,60.0,340.0,340.0
Multimedia (47).jpg,1,gap,horizontal,9,599.11,1067.0,60.0,60.0,340.0,340.0
Multimedia (47).jpg,1,gap,horizontal,10,646.0,1067.0,60.0,60.0,340.0,340.0
Multimedia (47).jpg,2,gap,horizontal,1,787.0,1060.0,60.0,60.0,347.0,347.0
Multimedia (47).jpg,2,gap,horizontal,2,857.11,1060.0,60.0,60.0,347.0,347.0
Multimedia (47).jpg,2,gap,horizontal,3,927.22,1060.0,60.0,60.0,347.0,347.0
Multimedia (47).jpg,2,gap,horizontal,4,997.33,1060.0,60.0,60.0,347.0,347.0
Multimedia (47).jpg,2,gap,horizontal,5,1067.44,1060.0,60.0,60.0,347.0,347.0
Multimedia (47).jpg,2,gap,horizontal,6,1137.56,1060.0,60.0,60.0,347.0,347.0
Multimedia (47).jpg,2,gap,horizontal,7,1207.67,1060.0,60.0,60.0,347.0,347.0
Multimedia (47).jpg,2,gap,horizontal,8,1277.78,1060.0,60.0,60.0,347.0,347.0
Multimedia (47).jpg,2,gap,horizontal,9,1347.89,1060.0,60.0,60.0,347.0,347.0
Multimedia (47).jpg,2,gap,horizontal,10,1418.0,1060.0,60.0,60.0,347.0,347.0
