image,object_id,sep_type,orientation,point_id,x_px,y_px,height_px,height_mm,distance_to_reference_px,distance_to_reference_mm
Multimedia (46).jpg,1,gap,horizontal,1,199.0,882.0,60.0,60.0,300.0,300.0
Multimedia (46).jpg,1,gap,horizontal,2,239.33,882.0,60.0,60.0,300.0,300.0
Multimedia (46).jpg,1,gap,horizontal,3,279.67,882.0,60.0,60.0,300.0,300.0
Multimedia (46).jpg,1,gap,horizontal,4,320.0,882.0,60.0,60.0,300.0,300.0
Multimedia (46).jpg,1,gap,horizontal,5,360.33,882.0,60.0,60.0,300.0,300.0
Multimedia (46).jpg,1,gap,horizontal,6,400.67,882.0,60.0,60.0,300.0,300.0
Multimedia (46).jpg,1,gap,horizontal,7,441.0,882.0,60.0,60.0,300.0,300.0
Multimedia (46).jpg,1,gap,horizontal,8,481.33,882.0,60.0,60.0,300.0,300.0
Multimedia (46).jpg,1,gap,horizontal,9,521.67,882.0,60.0,60.0,300.0,300.0
Multimedia (46).jpg,1,gap,horizontal,10,562.0,882.0,60.0,60.0,300.0,300.0
Multimedia (46).jpg,2,gap,horizontal,1,689.0,878.0,60.0,60.0,304.0,304.0
Multimedia (46).jpg,2,gap,horizontal,2,752.89,878.0,60.0,60.0,304.0,304.0
Multimedia (46).jpg,2,gap,horizontal,3,816.78,878.0,60.0,60.0,304.0,304.0
Multimedia (46).jpg,2,gap,horizontal,4,880.67,878.0,60.0,60.0,304.0,304.0
Multimedia (46).jpg,2,gap,horizontal,5,944.56,878.0,60.0,60.0,304.0,304.0
Multimedia (46).jpg,2,gap,horizontal,6,1008.44,878.0,60.0,60.0,304.0,304.0
Multimedia (46).jpg,2,gap,horizontal,7,1072.33,878.0,60.0,60.0,304.0,304.0
Multimedia (46).jpg,2,gap,horizontal,8,1136.22,878.0,60.0,60.0,304.0,304.0
Multimedia (46).jpg,2,gap,horizontal,9,1200.11,878.0,60.0,60.0,304.0,304.0
Multimedia (46).jpg,2,gap,horizontal,10,1264.0,878.0,60.0,60.0,304.0,304.0
