image,object_id,sep_type,orientation,point_id,x_px,y_px,height_px,height_mm,distance_to_reference_px,distance_to_reference_mm
Multimedia (38).jpg,1,gap,horizontal,1,216.0,1054.0,60.0,60.0,271.0,271.0
Multimedia (38).jpg,1,gap,horizontal,2,262.11,1054.0,60.0,60.0,271.0,271.0
Multimedia (38).jpg,1,gap,horizontal,3,308.22,1054.0,60.0,60.0,271.0,271.0
Multimedia (38).jpg,1,gap,horizontal,4,354.33,1054.0,60.0,60.0,271.0,271.0
Multimedia (38).jpg,1,gap,horizontal,5,400.44,1054.0,60.0,60.0,271.0,271.0
Multimedia (38).jpg,1,gap,horizontal,6,446.56,1054.0,60.0,60.0,271.0,271.0
Multimedia (38).jpg,1,gap,horizontal,7,492.67,1054.0,60.0,60.0,271.0,271.0
Multimedia (38).jpg,1,gap,horizontal,8,538.78,1054.0,60.0,60.0,271.0,271.0
Multimedia (38).jpg,1,gap,horizontal,9,584.89,1054.0,60.0,60.0,271.0,271.0
Multimedia (38).jpg,1,gap,horizontal,10,631.0,1054.0,60.0,60.0,271.0,271.0
Multimedia (38).jpg,2,gap,horizontal,1,749.0,1091.0,60.0,60.0,234.0,234.0
Multimedia (38).jpg,2,gap,horizontal,2,803.11,1091.0,60.0,60.0,234.0,234.0
Multimedia (38).jpg,2,gap,horizontal,3,857.22,1091.0,60.0,60.0,234.0,234.0
Multimedia (38).jpg,2,gap,horizontal,4,911.33,1091.0,60.0,60.0,234.0,234.0
Multimedia (38).jpg,2,gap,horizontal,5,965.44,1091.0,60.0,60.0,234.0,234.0
Multimedia (38).jpg,2,gap,horizontal,6,1019.56,1091.0,60.0,60.0,234.0,234.0
Multimedia (38).jpg,2,gap,horizontal,7,1073.67,1091.0,60.0,60.0,234.0,234.0
Multimedia (38).jpg,2,gap,horizontal,8,1127.78,1091.0,60.0,60.0,234.0,234.0
Multimedia (38).jpg,2,gap,horizontal,9,1181.89,1091.0,60.0,60.0,234.0,234.0
Multimedia (38).jpg,2,gap,horizontal,10,1236.0,1091.0,60.0,60.0,234.0,234.0
