image,object_id,sep_type,orientation,point_id,x_px,y_px,height_px,height_mm,distance_to_reference_px,distance_to_reference_mm
Multimedia (45).jpg,1,gap,horizontal,1,197.0,901.0,60.0,60.0,315.0,315.0
Multimedia (45).jpg,1,gap,horizontal,2,238.22,901.0,60.0,60.0,315.0,315.0
Multimedia (45).jpg,1,gap,horizontal,3,279.44,901.0,60.0,60.0,315.0,315.0
Multimedia (45).jpg,1,gap,horizontal,4,320.67,901.0,60.0,60.0,315.0,315.0
Multimedia (45).jpg,1,gap,horizontal,5,361.89,901.0,60.0,60.0,315.0,315.0
Multimedia (45).jpg,1,gap,horizontal,6,403.11,901.0,60.0,60.0,315.0,315.0
Multimedia (45).jpg,1,gap,horizontal,7,444.33,901.0,60.0,60.0,315.0,315.0
Multimedia (45).jpg,1,gap,horizontal,8,485.56,901.0,60.0,60.0,315.0,315.0
Multimedia (45).jpg,1,gap,horizontal,9,526.78,901.0,60.0,60.0,315.0,315.0
Multimedia (45).jpg,1,gap,horizontal,10,568.0,901.0,60.0,60.0,315.0,315.0
Multimedia (45).jpg,2,gap,horizontal,1,701.0,891.0,60.0,60.0,325.0,325.0
Multimedia (45).jpg,2,gap,horizontal,2,742.56,891.0,60.0,60.0,325.0,325.0
Multimedia (45).jpg,2,gap,horizontal,3,784.11,891.0,60.0,60.0,325.0,325.0
Multimedia (45).jpg,2,gap,horizontal,4,825.67,891.0,60.0,60.0,325.0,325.0
Multimedia (45).jpg,2,gap,horizontal,5,867.22,891.0,60.0,60.0,325.0,325.0
Multimedia (45).jpg,2,gap,horizontal,6,908.78,891.0,60.0,60.0,325.0,325.0
Multimedia (45).jpg,2,gap,horizontal,7,950.33,891.0,60.0,60.0,325.0,325.0
Multimedia (45).jpg,2,gap,horizontal,8,991.89,891.0,60.0,60.0,325.0,325.0
Multimedia (45).jpg,2,gap,horizontal,9,1033.44,891.0,60.0,60.0,325.0,325.0
Multimedia (45).jpg,2,gap,horizontal,10,1075.0,891.0,60.0,60.0,325.0,325.0
