image,object_id,sep_type,orientation,point_id,x_px,y_px,height_px,height_mm,distance_to_reference_px,distance_to_reference_mm
Multimedia (44).jpg,1,gap,horizontal,1,198.0,878.0,60.0,60.0,314.0,314.0
Multimedia (44).jpg,1,gap,horizontal,2,238.89,878.0,60.0,60.0,314.0,314.0
Multimedia (44).jpg,1,gap,horizontal,3,279.78,878.0,60.0,60.0,314.0,314.0
Multimedia (44).jpg,1,gap,horizontal,4,320.67,878.0,60.0,60.0,314.0,314.0
Multimedia (44).jpg,1,gap,horizontal,5,361.56,878.0,60.0,60.0,314.0,314.0
Multimedia (44).jpg,1,gap,horizontal,6,402.44,878.0,60.0,60.0,314.0,314.0
Multimedia (44).jpg,1,gap,horizontal,7,443.33,878.0,60.0,60.0,314.0,314.0
Multimedia (44).jpg,1,gap,horizontal,8,484.22,878.0,60.0,60.0,314.0,314.0
Multimedia (44).jpg,1,gap,horizontal,9,525.11,878.0,60.0,60.0,314.0,314.0
Multimedia (44).jpg,1,gap,horizontal,10,566.0,878.0,60.0,60.0,314.0,314.0
Multimedia (44).jpg,2,gap,horizontal,1,699.0,865.0,60.0,60.0,327.0,327.0
Multimedia (44).jpg,2,gap,horizontal,2,743.22,865.0,60.0,60.0,327.0,327.0
Multimedia (44).jpg,2,gap,horizontal,3,787.44,865.0,60.0,60.0,327.0,327.0
Multimedia (44).jpg,2,gap,horizontal,4,831.67,865.0,60.0,60.0,327.0,327.0
Multimedia (44).jpg,2,gap,horizontal,5,875.89,865.0,60.0,60.0,327.0,327.0
Multimedia (44).jpg,2,gap,horizontal,6,920.11,865.0,60.0,60.0,327.0,327.0
Multimedia (44).jpg,2,gap,horizontal,7,964.33,865.0,60.0,60.0,327.0,327.0
Multimedia (44).jpg,2,gap,horizontal,8,1008.56,865.0,60.0,60.0,327.0,327.0
Multimedia (44).jpg,2,gap,horizontal,9,1052.78,865.0,60.0,60.0,327.0,327.0
Multimedia (44).jpg,2,gap,horizontal,10,1097.0,865.0,60.0,60.0,327.0,327.0
