image,object_id,sep_type,orientation,point_id,x_px,y_px,height_px,height_mm,distance_to_reference_px,distance_to_reference_mm
Multimedia (36).jpg,1,gap,horizontal,1,208.0,931.0,60.0,60.0,281.0,281.0
Multimedia (36).jpg,1,gap,horizontal,2,257.0,931.0,60.0,60.0,281.0,281.0
Multimedia (36).jpg,1,gap,horizontal,3,306.0,931.0,60.0,60.0,281.0,281.0
Multimedia (36).jpg,1,gap,horizontal,4,355.0,931.0,60.0,60.0,281.0,281.0
Multimedia (36).jpg,1,gap,horizontal,5,404.0,931.0,60.0,60.0,281.0,281.0
Multimedia (36).jpg,1,gap,horizontal,6,453.0,931.0,60.0,60.0,281.0,281.0
Multimedia (36).jpg,1,gap,horizontal,7,502.0,931.0,60.0,60.0,281.0,281.0
Multimedia (36).jpg,1,gap,horizontal,8,551.0,931.0,60.0,60.0,281.0,281.0
Multimedia (36).jpg,1,gap,horizontal,9,600.0,931.0,60.0,60.0,281.0,281.0
Multimedia (36).jpg,1,gap,horizontal,10,649.0,931.0,60.0,60.0,281.0,281.0
Multimedia (36).jpg,2,gap,horizontal,1,743.0,945.0,60.0,60.0,267.0,267.0
Multimedia (36).jpg,2,gap,horizontal,2,783.22,945.0,60.0,60.0,267.0,267.0
Multimedia (36).jpg,2,gap,horizontal,3,823.44,945.0,60.0,60.0,267.0,267.0
Multimedia (36).jpg,2,gap,horizontal,4,863.67,945.0,60.0,60.0,267.0,267.0
Multimedia (36).jpg,2,gap,horizontal,5,903.89,945.0,60.0,60.0,267.0,267.0
Multimedia (36).jpg,2,gap,horizontal,6,944.11,945.0,60.0,60.0,267.0,267.0
Multimedia (36).jpg,2,gap,horizontal,7,984.33,945.0,60.0,60.0,267.0,267.0
Multimedia (36).jpg,2,gap,horizontal,8,1024.56,945.0,60.0,60.0,267.0,267.0
Multimedia (36).jpg,2,gap,horizontal,9,1064.78,945.0,60.0,60.0,267.0,267.0
Multimedia (36).jpg,2,gap,horizontal,10,1105.0,945.0,60.0,60.0,267.0,267.0
