image,object_id,sep_type,orientation,point_id,x_px,y_px,height_px,height_mm,distance_to_reference_px,distance_to_reference_mm
Multimedia (35).jpg,1,gap,horizontal,1,192.0,931.0,60.0,60.0,281.0,281.0
Multimedia (35).jpg,1,gap,horizontal,2,241.0,931.0,60.0,60.0,281.0,281.0
Multimedia (35).jpg,1,gap,horizontal,3,290.0,931.0,60.0,60.0,281.0,281.0
Multimedia (35).jpg,1,gap,horizontal,4,339.0,931.0,60.0,60.0,281.0,281.0
Multimedia (35).jpg,1,gap,horizontal,5,388.0,931.0,60.0,60.0,281.0,281.0
Multimedia (35).jpg,1,gap,horizontal,6,437.0,931.0,60.0,60.0,281.0,281.0
Multimedia (35).jpg,1,gap,horizontal,7,486.0,931.0,60.0,60.0,281.0,281.0
Multimedia (35).jpg,1,gap,horizontal,8,535.0,931.0,60.0,60.0,281.0,281.0
Multimedia (35).jpg,1,gap,horizontal,9,584.0,931.0,60.0,60.0,281.0,281.0
Multimedia (35).jpg,1,gap,horizontal,10,633.0,931.0,60.0,60.0,281.0,281.0
Multimedia (35).jpg,2,gap,horizontal,1,727.0,945.0,60.0,60.0,267.0,267.0
Multimedia (35).jpg,2,gap,horizontal,2,767.22,945.0,60.0,60.0,267.0,267.0
Multimedia (35).jpg,2,gap,horizontal,3,807.44,945.0,60.0,60.0,267.0,267.0
Multimedia (35).jpg,2,gap,horizontal,4,847.67,945.0,60.0,60.0,267.0,267.0
Multimedia (35).jpg,2,gap,horizontal,5,887.89,945.0,60.0,60.0,267.0,267.0
Multimedia (35).jpg,2,gap,horizontal,6,928.11,945.0,60.0,60.0,267.0,267.0
Multimedia (35).jpg,2,gap,horizontal,7,968.33,945.0,60.0,60.0,267.0,267.0
Multimedia (35).jpg,2,gap,horizontal,8,1008.56,945.0,60.0,60.0,267.0,267.0
Multimedia (35).jpg,2,gap,horizontal,9,1048.78,945.0,60.0,60.0,267.0,267.0
Multimedia (35).jpg,2,gap,horizontal,10,1089.0,945.0,60.0,60.0,267.0,267.0
