image_name,pixel_iou,pixel_precision,pixel_recall,pixel_f1
Multimedia_31.jpg,0.5570147111589523,1.0,0.5570147111589523,0.7154906208231553
Multimedia_32.jpg,0.3084704313028012,0.996230479267636,0.3088308942184631,0.4714977487044431
Multimedia_33.jpg,0.4011997600479904,1.0,0.4011997600479904,0.5726517681308331
Multimedia_34.jpg,0.514070298396517,1.0,0.514070298396517,0.6790573713003226
Multimedia_35.jpg,0.9009022333974264,0.9518674792936397,0.9439020610568728,0.9478680361033304
Multimedia_36.jpg,0.8842273354140959,0.9518674792936397,0.9256135552009725,0.9385569551985824
Multimedia_37.jpg,0.5633047210300429,0.9951881014873141,0.5648431680873955,0.7206588881262869
Multimedia_38.jpg,0.0,0.0,0.0,0.0
Multimedia_39.jpg,0.5041816778178075,1.0,0.5041816778178075,0.6703733800949488
Multimedia_40.jpg,0.8093884751078009,0.9436700182815356,0.8504788384306456,0.8946541732112874
Multimedia_41.jpg,0.6156326121220805,0.7100479259626508,0.8223753469231505,0.7620948073256175
Multimedia_42.jpg,0.0967965367965368,1.0,0.0967965367965368,0.17650773602778655
Multimedia_43.jpg,0.1298747763864043,0.9909008189262967,0.13002985074626866,0.22989233692210256
Multimedia_44.jpg,0.0,0.0,0.0,0.0
Multimedia_45.jpg,0.5716689098250336,0.9973583798062812,0.5725358045492839,0.7274673517448083
Multimedia_46.jpg,0.5359540722000584,1.0,0.5359540722000584,0.6978777320240735
Multimedia_47.jpg,0.5377153039002178,1.0,0.5377153039002178,0.6993691257885928
