iou_threshold,n_images_evaluated,n_gt_total,n_pred_total,tp,fp,fn,precision,recall,f1,mean_iou_matches,mae_mm,rmse_mm,mape_percent
0.3,17,34,32,25,7,9,0.7812,0.7353,0.7576,0.6207,21.062,23.02,69.94
0.5,17,34,32,17,15,17,0.5312,0.5,0.5152,0.7158,17.351,18.521,64.86
