precision,recall
1.0,0.029411764705882353
1.0,0.058823529411764705
1.0,0.08823529411764706
1.0,0.11764705882352941
1.0,0.14705882352941177
1.0,0.17647058823529413
1.0,0.20588235294117646
1.0,0.23529411764705882
1.0,0.2647058823529412
1.0,0.29411764705882354
1.0,0.3235294117647059
1.0,0.35294117647058826
1.0,0.38235294117647056
1.0,0.4117647058823529
1.0,0.4411764705882353
1.0,0.47058823529411764
1.0,0.5
1.0,0.5294117647058824
1.0,0.5588235294117647
0.95,0.5588235294117647
0.9523809523809523,0.5882352941176471
0.9545454545454546,0.6176470588235294
0.9565217391304348,0.6470588235294118
0.9583333333333334,0.6764705882352942
0.96,0.7058823529411765
0.9615384615384616,0.7352941176470589
0.9259259259259259,0.7352941176470589
0.8928571428571429,0.7352941176470589
0.8620689655172413,0.7352941176470589
0.8333333333333334,0.7352941176470589
0.8064516129032258,0.7352941176470589
0.78125,0.7352941176470589
