image_name,gap_id,gap_index,orientation,sample_id,distance_mm,used_in_trimmed_mean,point_a_x_px,point_a_y_px,point_b_x_px,point_b_y_px
Multimedia_31.jpg,0,0,vertical,0,13.857131958007812,False,170.57144165039062,82.0,184.42857360839844,82.0
Multimedia_31.jpg,0,0,vertical,1,12.158725799061358,True,172.84127420093864,108.88888549804688,185.0,108.88888549804688
Multimedia_31.jpg,0,0,vertical,2,10.349212888628244,True,174.25397479347885,135.77777099609375,184.6031876821071,135.77777099609375
Multimedia_31.jpg,0,0,vertical,3,8.1904849098064,True,175.80953034898266,162.6666717529297,184.00001525878906,162.6666717529297
Multimedia_31.jpg,0,0,vertical,4,7.0,True,177.00001525878906,189.55555725097656,184.00001525878906,189.55555725097656
Multimedia_31.jpg,0,0,vertical,5,5.7936420743353665,True,177.20635792566463,216.44444274902344,183.0,216.44444274902344
Multimedia_31.jpg,0,0,vertical,6,3.61903526680544,True,180.00003051757812,243.33334350585938,183.61906578438357,243.33334350585938
Multimedia_31.jpg,0,0,vertical,7,2.6825331430882215,True,182.31746685691178,270.22222900390625,185.0,270.22222900390625
Multimedia_31.jpg,0,0,vertical,8,1.9999847412109375,True,184.00001525878906,297.1111145019531,186.0,297.1111145019531
Multimedia_31.jpg,0,0,vertical,9,1.8571319580078125,False,184.57144165039062,324.0,186.42857360839844,324.0
Multimedia_31.jpg,1,1,vertical,0,0.857147216796875,False,183.57142639160156,538.0,184.42857360839844,538.0
Multimedia_31.jpg,1,1,vertical,1,2.71429443359375,True,184.71429443359375,555.0,187.4285888671875,555.0
Multimedia_31.jpg,1,1,vertical,2,4.285736083984375,True,186.0,572.0,190.28573608398438,572.0
Multimedia_31.jpg,1,1,vertical,3,6.2857208251953125,True,186.0,589.0,192.2857208251953,589.0
Multimedia_31.jpg,1,1,vertical,4,6.857147216796875,True,186.14285278320312,606.0,193.0,606.0
Multimedia_31.jpg,1,1,vertical,5,7.7142791748046875,True,187.00003051757812,623.0,194.7143096923828,623.0
Multimedia_31.jpg,1,1,vertical,6,8.714263916015625,True,187.85716247558594,640.0,196.57142639160156,640.0
Multimedia_31.jpg,1,1,vertical,7,10.428573608398438,True,188.71429443359375,657.0,199.1428680419922,657.0
Multimedia_31.jpg,1,1,vertical,8,11.857131958007812,True,189.00001525878906,674.0,200.85714721679688,674.0
Multimedia_31.jpg,1,1,vertical,9,12.571426391601562,False,190.57144165039062,691.0,203.1428680419922,691.0
Multimedia_32.jpg,0,0,vertical,0,12.571426391601562,False,157.85714721679688,77.0,170.42857360839844,77.0
Multimedia_32.jpg,0,0,vertical,1,10.809514000313357,True,160.19048599968664,95.33333587646484,171.0,95.33333587646484
Multimedia_32.jpg,0,0,vertical,2,9.0,True,162.0,113.66667175292969,171.0,113.66667175292969
Multimedia_32.jpg,0,0,vertical,3,7.142852783203125,True,163.85714721679688,132.0,171.0,132.0
Multimedia_32.jpg,0,0,vertical,4,6.095243907999247,True,164.90475609200075,150.33334350585938,171.0,150.33334350585938
Multimedia_32.jpg,0,0,vertical,5,5.0,True,166.0,168.6666717529297,171.0,168.6666717529297
Multimedia_32.jpg,0,0,vertical,6,4.28570556640625,True,167.71429443359375,187.0,172.0,187.0
Multimedia_32.jpg,0,0,vertical,7,3.9999847412109375,True,168.00001525878906,205.33334350585938,172.0,205.33334350585938
Multimedia_32.jpg,0,0,vertical,8,1.4285786948166788,True,170.66667756577954,223.6666717529297,172.09525626059622,223.6666717529297
Multimedia_32.jpg,0,0,vertical,9,0.857147216796875,False,172.57144165039062,242.0,173.4285888671875,242.0
Multimedia_32.jpg,1,1,vertical,0,0.5714263916015625,False,183.71429443359375,514.0,184.2857208251953,514.0
Multimedia_32.jpg,1,1,vertical,1,2.71429443359375,True,184.79365515336394,527.5555419921875,187.5079495869577,527.5555419921875
Multimedia_32.jpg,1,1,vertical,2,3.857147216796875,True,185.73014783114195,541.111083984375,189.58729504793882,541.111083984375
Multimedia_32.jpg,1,1,vertical,3,5.0000152587890625,True,186.0,554.6666870117188,191.00001525878906,554.6666870117188
Multimedia_32.jpg,1,1,vertical,4,5.111115228384733,True,186.88890003040433,568.2222290039062,192.00001525878906,568.2222290039062
Multimedia_32.jpg,1,1,vertical,5,6.857140434905887,True,187.11113726906478,581.7777709960938,193.96827770397067,581.7777709960938
Multimedia_32.jpg,1,1,vertical,6,7.99999491404742,True,188.61904616560787,595.3333129882812,196.6190410796553,595.3333129882812
