iou_threshold,n_images_evaluated,n_gt_total,n_pred_total,tp,fp,fn,precision,recall,f1,mean_iou_matches,mae_mm,rmse_mm,mape_percent
0.3,17,34,32,25,7,9,0.78125,0.7352941176470589,0.7575757575757576,0.6207248885003945,21.062225704193114,23.019803456974046,69.9429383397693
0.5,17,34,32,17,15,17,0.53125,0.5,0.5151515151515151,0.7157873061677702,17.350515646093033,18.521194280122916,64.85623888709756
