image_path,edge_id,border_id,border_point_id,global_point_id,x_px,y_px,x_mm,y_mm,distance_to_bottom_mm
C:\Users\ruizm\Escritorio\VA_RetoMichelin\models\Pablo\challenge\Foto3.jpg,1,1,1,1,905.1500244140625,940.0,546.4942626953125,541.034912109375,316.9083251953125
C:\Users\ruizm\Escritorio\VA_RetoMichelin\models\Pablo\challenge\Foto3.jpg,1,1,2,2,886.2999877929688,1031.0,538.5518798828125,606.0361328125,251.9071044921875
C:\Users\ruizm\Escritorio\VA_RetoMichelin\models\Pablo\challenge\Foto3.jpg,1,1,3,3,870.5999755859375,1122.0,532.5878295898438,670.814697265625,187.1285400390625
C:\Users\ruizm\Escritorio\VA_RetoMichelin\models\Pablo\challenge\Foto3.jpg,1,1,4,4,855.9000244140625,1213.0,527.2517700195312,735.5226440429688,122.42059326171875
C:\Users\ruizm\Escritorio\VA_RetoMichelin\models\Pablo\challenge\Foto3.jpg,1,1,5,5,841.2000122070312,1304.0,521.9157104492188,800.2305908203125,57.712646484375
C:\Users\ruizm\Escritorio\VA_RetoMichelin\models\Pablo\challenge\Foto3.jpg,1,2,1,6,907.8499755859375,940.0,548.1898803710938,540.8441162109375,317.09912109375
C:\Users\ruizm\Escritorio\VA_RetoMichelin\models\Pablo\challenge\Foto3.jpg,1,2,2,7,891.7000122070312,1031.0,541.9432373046875,605.654541015625,252.2886962890625
C:\Users\ruizm\Escritorio\VA_RetoMichelin\models\Pablo\challenge\Foto3.jpg,1,2,3,8,881.4000244140625,1122.0,539.3704833984375,670.0515747070312,187.89166259765625
C:\Users\ruizm\Escritorio\VA_RetoMichelin\models\Pablo\challenge\Foto3.jpg,1,2,4,9,872.0999755859375,1213.0,537.4257202148438,734.3779296875,123.5653076171875
C:\Users\ruizm\Escritorio\VA_RetoMichelin\models\Pablo\challenge\Foto3.jpg,1,2,5,10,862.7999877929688,1304.0,535.48095703125,798.7042236328125,59.239013671875
C:\Users\ruizm\Escritorio\VA_RetoMichelin\models\Pablo\challenge\Foto3.jpg,2,1,1,1,816.4000244140625,269.0,462.0307312011719,77.83370208740234,780.1095581054688
C:\Users\ruizm\Escritorio\VA_RetoMichelin\models\Pablo\challenge\Foto3.jpg,2,1,2,2,833.5,370.5,477.1152648925781,147.64096069335938,710.30224609375
C:\Users\ruizm\Escritorio\VA_RetoMichelin\models\Pablo\challenge\Foto3.jpg,2,1,3,3,850.5999755859375,472.0,492.1997985839844,217.44821166992188,640.4949951171875
C:\Users\ruizm\Escritorio\VA_RetoMichelin\models\Pablo\challenge\Foto3.jpg,2,1,4,4,867.6500244140625,573.5,507.2529602050781,287.2590026855469,570.6842041015625
C:\Users\ruizm\Escritorio\VA_RetoMichelin\models\Pablo\challenge\Foto3.jpg,2,1,5,5,884.7000122070312,675.0,522.3060913085938,357.0697937011719,500.8734436035156
C:\Users\ruizm\Escritorio\VA_RetoMichelin\models\Pablo\challenge\Foto3.jpg,2,2,1,6,823.5999755859375,269.0,466.5524597167969,77.32492065429688,780.6182861328125
C:\Users\ruizm\Escritorio\VA_RetoMichelin\models\Pablo\challenge\Foto3.jpg,2,2,2,7,842.5,370.5,482.7674560546875,147.00497436523438,710.938232421875
C:\Users\ruizm\Escritorio\VA_RetoMichelin\models\Pablo\challenge\Foto3.jpg,2,2,3,8,861.4000244140625,472.0,498.9824523925781,216.68504333496094,641.2581787109375
C:\Users\ruizm\Escritorio\VA_RetoMichelin\models\Pablo\challenge\Foto3.jpg,2,2,4,9,879.3499755859375,573.5,514.6007690429688,286.4322204589844,571.510986328125
C:\Users\ruizm\Escritorio\VA_RetoMichelin\models\Pablo\challenge\Foto3.jpg,2,2,5,10,897.2999877929688,675.0,530.2191772460938,356.1794128417969,501.7638244628906
