image_name,gap_id,gap_index,orientation,boundary,sample_id,point_a_x_px,point_a_y_px,point_b_x_px,point_b_y_px,distance_px,distance_mm,used_in_trimmed_mean
Multimedia_33.jpg,0,0,vertical,B,5,198.14288330078125,91.0,184.57144165039062,91.0,13.571441650390625,709.0,True
Multimedia_33.jpg,0,0,vertical,B,6,196.03572845458984,152.75,187.00003051757812,152.75,9.035697937011719,647.25,True
Multimedia_33.jpg,0,0,vertical,B,7,193.92859649658203,214.5,188.00001525878906,214.5,5.928581237792969,585.5,True
Multimedia_33.jpg,0,0,vertical,B,8,194.00003051757812,276.25,190.46430206298828,276.25,3.5357284545898438,523.75,True
Multimedia_33.jpg,0,0,vertical,B,9,193.42857360839844,338.0,192.57142639160156,338.0,0.857147216796875,462.0,True
Multimedia_33.jpg,1,1,vertical,A,0,183.57142639160156,553.0,184.42857360839844,553.0,0.857147216796875,247.0,False
Multimedia_33.jpg,1,1,vertical,A,1,184.00001525878906,592.75,189.82143020629883,592.75,5.821414947509766,207.25,True
Multimedia_33.jpg,1,1,vertical,A,2,184.00001525878906,632.5,192.00001525878906,632.5,8.0,167.5,True
Multimedia_33.jpg,1,1,vertical,A,3,184.46429061889648,672.25,195.00001525878906,672.25,10.535724639892578,127.75,True
Multimedia_33.jpg,1,1,vertical,A,4,186.57144165039062,712.0,198.4285888671875,712.0,11.857147216796875,88.0,False
Multimedia_33.jpg,1,1,vertical,B,5,184.42857360839844,553.0,183.57142639160156,553.0,0.857147216796875,247.0,True
Multimedia_33.jpg,1,1,vertical,B,6,189.82143020629883,592.75,184.00001525878906,592.75,5.821414947509766,207.25,True
Multimedia_33.jpg,1,1,vertical,B,7,192.00001525878906,632.5,184.00001525878906,632.5,8.0,167.5,True
Multimedia_33.jpg,1,1,vertical,B,8,195.00001525878906,672.25,184.46429061889648,672.25,10.535724639892578,127.75,True
Multimedia_33.jpg,1,1,vertical,B,9,198.4285888671875,712.0,186.57144165039062,712.0,11.857147216796875,88.0,True
Multimedia_34.jpg,0,0,vertical,A,0,173.57144165039062,86.0,185.42857360839844,86.0,11.857131958007812,714.0,False
Multimedia_34.jpg,0,0,vertical,A,1,175.00001525878906,131.75,184.00001525878906,131.75,9.0,668.25,True
Multimedia_34.jpg,0,0,vertical,A,2,175.00001525878906,177.5,180.7857208251953,177.5,5.78570556640625,622.5,True
Multimedia_34.jpg,0,0,vertical,A,3,174.00001525878906,223.25,178.0,223.25,3.9999847412109375,576.75,True
Multimedia_34.jpg,0,0,vertical,A,4,176.57144165039062,269.0,177.42857360839844,269.0,0.8571319580078125,531.0,False
Multimedia_34.jpg,0,0,vertical,B,5,185.42857360839844,86.0,173.57144165039062,86.0,11.857131958007812,714.0,True
Multimedia_34.jpg,0,0,vertical,B,6,184.00001525878906,131.75,175.00001525878906,131.75,9.0,668.25,True
Multimedia_34.jpg,0,0,vertical,B,7,180.7857208251953,177.5,175.00001525878906,177.5,5.78570556640625,622.5,True
Multimedia_34.jpg,0,0,vertical,B,8,178.0,223.25,174.00001525878906,223.25,3.9999847412109375,576.75,True
Multimedia_34.jpg,0,0,vertical,B,9,177.42857360839844,269.0,176.57144165039062,269.0,0.8571319580078125,531.0,True
Multimedia_34.jpg,1,1,vertical,A,0,164.57144165039062,531.0,165.4285888671875,531.0,0.857147216796875,269.0,False
Multimedia_34.jpg,1,1,vertical,A,1,165.0,568.5,170.00001525878906,568.5,5.0000152587890625,231.5,True
Multimedia_34.jpg,1,1,vertical,A,2,164.0,606.0,171.0,606.0,7.0,194.0,True
Multimedia_34.jpg,1,1,vertical,A,3,164.0,643.5,174.00001525878906,643.5,10.000015258789062,156.5,True
Multimedia_34.jpg,1,1,vertical,A,4,164.57142639160156,681.0,176.42857360839844,681.0,11.857147216796875,119.0,False
Multimedia_34.jpg,1,1,vertical,B,5,165.4285888671875,531.0,164.57144165039062,531.0,0.857147216796875,269.0,True
Multimedia_34.jpg,1,1,vertical,B,6,170.00001525878906,568.5,165.0,568.5,5.0000152587890625,231.5,True
Multimedia_34.jpg,1,1,vertical,B,7,171.0,606.0,164.0,606.0,7.0,194.0,True
Multimedia_34.jpg,1,1,vertical,B,8,174.00001525878906,643.5,164.0,643.5,10.000015258789062,156.5,True
Multimedia_34.jpg,1,1,vertical,B,9,176.42857360839844,681.0,164.57142639160156,681.0,11.857147216796875,119.0,True
Multimedia_35.jpg,0,0,horizontal,A,0,130.0,596.5714721679688,130.0,610.4285888671875,13.85711669921875,203.42852783203125,True
Multimedia_35.jpg,0,0,horizontal,A,1,191.25,596.0,191.25,607.1071624755859,11.107162475585938,204.0,True
Multimedia_35.jpg,0,0,horizontal,A,2,252.5,595.0,252.5,606.0,11.0,205.0,True
Multimedia_35.jpg,0,0,horizontal,A,3,313.75,593.0,313.75,602.0000610351562,9.00006103515625,207.0,True
Multimedia_35.jpg,0,0,horizontal,A,4,375.0,589.5714111328125,375.0,599.4285888671875,9.857177734375,210.4285888671875,False
Multimedia_35.jpg,0,0,horizontal,B,5,130.0,610.4285888671875,130.0,596.5714721679688,13.85711669921875,189.5714111328125,False
Multimedia_35.jpg,0,0,horizontal,B,6,191.25,607.1071624755859,191.25,596.0,11.107162475585938,192.89283752441406,True
