image_path,edge_id,border_id,border_point_id,global_point_id,x_px,y_px,x_mm,y_mm,distance_to_bottom_mm
data/images\Multimedia_47.jpg,1,1,1,1,239.0,1065.4000244140625,112.01932525634766,578.3942260742188,209.388671875
data/images\Multimedia_47.jpg,1,1,2,2,336.75,1056.949951171875,173.7576446533203,569.1949462890625,218.58795166015625
data/images\Multimedia_47.jpg,1,1,3,3,434.5,1062.699951171875,235.50437927246094,568.8408203125,218.94207763671875
data/images\Multimedia_47.jpg,1,1,4,4,532.25,1064.6500244140625,297.24884033203125,566.1196899414062,221.6632080078125
data/images\Multimedia_47.jpg,1,1,5,5,630.0,1065.1500244140625,358.9924621582031,562.495361328125,225.28753662109375
data/images\Multimedia_47.jpg,1,2,1,6,239.0,1072.5999755859375,112.02359008789062,582.8790893554688,204.90380859375
data/images\Multimedia_47.jpg,1,2,2,7,336.75,1074.050048828125,173.7677764892578,579.8464965820312,207.9364013671875
data/images\Multimedia_47.jpg,1,2,3,8,434.5,1075.300048828125,235.5118408203125,576.6893310546875,211.09356689453125
data/images\Multimedia_47.jpg,1,2,4,9,532.25,1076.3499755859375,297.2557678222656,573.4075927734375,214.37530517578125
data/images\Multimedia_47.jpg,1,2,5,10,630.0,1067.8499755859375,358.99407958984375,564.1771240234375,223.60577392578125
data/images\Multimedia_47.jpg,2,1,1,1,808.0,1049.25,471.4159240722656,545.42431640625,242.35858154296875
data/images\Multimedia_47.jpg,2,1,2,2,901.0,1049.25,530.158935546875,541.6798095703125,246.10308837890625
data/images\Multimedia_47.jpg,2,1,3,3,994.0,1049.25,588.9019165039062,537.9352416992188,249.84765625
data/images\Multimedia_47.jpg,2,1,4,4,1087.0,1049.25,647.6449584960938,534.1907348632812,253.5921630859375
data/images\Multimedia_47.jpg,2,1,5,5,1180.0,1049.25,706.387939453125,530.4461669921875,257.33673095703125
data/images\Multimedia_47.jpg,2,2,1,6,808.0,1071.75,471.4292297363281,559.4395141601562,228.3433837890625
data/images\Multimedia_47.jpg,2,2,2,7,901.0,1071.75,530.1722412109375,555.6949462890625,232.08795166015625
data/images\Multimedia_47.jpg,2,2,3,8,994.0,1071.75,588.915283203125,551.950439453125,235.83245849609375
data/images\Multimedia_47.jpg,2,2,4,9,1087.0,1071.75,647.6582641601562,548.2059326171875,239.57696533203125
data/images\Multimedia_47.jpg,2,2,5,10,1180.0,1071.75,706.4013061523438,544.4613647460938,243.321533203125
