image_path,edge_id,border_id,border_point_id,global_point_id,x_px,y_px,x_mm,y_mm,distance_to_bottom_mm
data/images\Multimedia_34.jpg,1,1,1,1,289.1000061035156,882.0,-368.98974609375,533.7516479492188,336.54241943359375
data/images\Multimedia_34.jpg,1,1,2,2,290.0,941.5,-404.95611572265625,571.7119750976562,298.58209228515625
data/images\Multimedia_34.jpg,1,1,3,3,288.0,1001.0,-442.7667236328125,609.6552734375,260.6387939453125
data/images\Multimedia_34.jpg,1,1,4,4,287.5,1060.5,-479.6234130859375,647.607421875,222.6866455078125
data/images\Multimedia_34.jpg,1,1,5,5,287.0,1120.0,-516.4801025390625,685.5595703125,184.7344970703125
data/images\Multimedia_34.jpg,1,2,1,6,294.0,882.0,-365.87359619140625,533.7803344726562,336.51373291015625
data/images\Multimedia_34.jpg,1,2,2,7,301.0,941.5,-397.9606628417969,571.7763671875,298.5177001953125
data/images\Multimedia_34.jpg,1,2,3,8,302.0,1001.0,-433.8634033203125,609.7372436523438,260.55682373046875
data/images\Multimedia_34.jpg,1,2,4,9,304.5,1060.5,-468.8122253417969,647.7069702148438,222.58709716796875
data/images\Multimedia_34.jpg,1,2,5,10,307.0,1120.0,-503.7610778808594,685.6766357421875,184.617431640625
data/images\Multimedia_34.jpg,2,1,1,1,1090.75,246.0,531.3854370117188,132.74075317382812,737.5533447265625
data/images\Multimedia_34.jpg,2,1,2,2,1090.0,325.25,482.24139404296875,183.28994750976562,687.004150390625
data/images\Multimedia_34.jpg,2,1,3,3,1090.0,404.5,433.57427978515625,233.84352111816406,636.4505615234375
data/images\Multimedia_34.jpg,2,1,4,4,1089.0,483.75,384.271240234375,284.3912353515625,585.90283203125
data/images\Multimedia_34.jpg,2,1,5,5,1085.300048828125,563.0,333.2511291503906,334.92315673828125,535.3709106445312
data/images\Multimedia_34.jpg,2,2,1,6,1110.25,246.0,543.7864990234375,132.8549346923828,737.4391479492188
data/images\Multimedia_34.jpg,2,2,2,7,1116.0,325.25,498.776123046875,183.44216918945312,686.8519287109375
data/images\Multimedia_34.jpg,2,2,3,8,1116.0,404.5,450.1090087890625,233.99574279785156,636.29833984375
data/images\Multimedia_34.jpg,2,2,4,9,1112.199951171875,483.75,399.0252685546875,284.5270690917969,585.7669677734375
data/images\Multimedia_34.jpg,2,2,5,10,1099.0,563.0,341.9636535644531,335.00335693359375,535.2907104492188
