image_path,edge_id,border_id,border_point_id,global_point_id,x_px,y_px,x_mm,y_mm,distance_to_bottom_mm
data/images\Multimedia_36.jpg,1,1,1,1,254.0,940.25,116.98198699951172,615.4884643554688,187.73345947265625
data/images\Multimedia_36.jpg,1,1,2,2,343.0,925.0,182.20050048828125,602.917236328125,200.3046875
data/images\Multimedia_36.jpg,1,1,3,3,432.0,924.9000244140625,247.15403747558594,601.031005859375,202.19091796875
data/images\Multimedia_36.jpg,1,1,4,4,521.0,923.75,312.1259460449219,598.4041748046875,204.8177490234375
data/images\Multimedia_36.jpg,1,1,5,5,610.0,927.1500244140625,377.0182800292969,598.9863891601562,204.23553466796875
data/images\Multimedia_36.jpg,1,2,1,6,254.0,944.75,116.90328979492188,618.6622314453125,184.5596923828125
data/images\Multimedia_36.jpg,1,2,2,7,343.0,943.0,181.8856964111328,615.6122436523438,187.60968017578125
data/images\Multimedia_36.jpg,1,2,3,8,432.0,941.0999755859375,246.8707275390625,612.4564819335938,190.76544189453125
data/images\Multimedia_36.jpg,1,2,4,9,521.0,937.25,311.8898620605469,607.9254150390625,195.2965087890625
data/images\Multimedia_36.jpg,1,2,5,10,610.0,929.8499755859375,376.9710693359375,600.890625,202.331298828125
data/images\Multimedia_36.jpg,2,1,1,1,760.0,924.75,486.52960205078125,594.2335205078125,208.9884033203125
data/images\Multimedia_36.jpg,2,1,2,2,837.0,924.75,542.7238159179688,592.66259765625,210.559326171875
data/images\Multimedia_36.jpg,2,1,3,3,914.0,924.75,598.9180908203125,591.0917358398438,212.13018798828125
data/images\Multimedia_36.jpg,2,1,4,4,991.0,924.75,655.1123657226562,589.5208129882812,213.70111083984375
data/images\Multimedia_36.jpg,2,1,5,5,1068.0,924.75,711.3065795898438,587.9498901367188,215.27203369140625
data/images\Multimedia_36.jpg,2,2,1,6,760.0,956.25,485.9786682128906,616.4498291015625,186.7720947265625
data/images\Multimedia_36.jpg,2,2,2,7,837.0,956.25,542.1729125976562,614.87890625,188.343017578125
data/images\Multimedia_36.jpg,2,2,3,8,914.0,956.25,598.3671875,613.3080444335938,189.91387939453125
data/images\Multimedia_36.jpg,2,2,4,9,991.0,956.25,654.5614624023438,611.7371215820312,191.48480224609375
data/images\Multimedia_36.jpg,2,2,5,10,1068.0,956.25,710.7556762695312,610.1661987304688,193.05572509765625
