image_path,edge_id,border_id,border_point_id,global_point_id,x_px,y_px,x_mm,y_mm,distance_to_bottom_mm
data/images\Multimedia_42.jpg,1,1,1,1,442.0,947.0,-326.0244445800781,601.3067016601562,283.76361083984375
data/images\Multimedia_42.jpg,1,1,2,2,439.0,995.25,-359.22784423828125,634.6134643554688,250.45684814453125
data/images\Multimedia_42.jpg,1,1,3,3,438.0,1043.5,-391.0833740234375,667.8792724609375,217.1910400390625
data/images\Multimedia_42.jpg,1,1,4,4,436.75,1091.75,-423.1073913574219,701.150146484375,183.920166015625
data/images\Multimedia_42.jpg,1,1,5,5,432.0,1140.0,-457.49017333984375,734.4927978515625,150.5775146484375
data/images\Multimedia_42.jpg,1,2,1,6,444.0,947.0,-324.6766052246094,601.2657470703125,283.8045654296875
data/images\Multimedia_42.jpg,1,2,2,7,447.0,995.25,-353.8364562988281,634.4495849609375,250.6207275390625
data/images\Multimedia_42.jpg,1,2,3,8,447.0,1043.5,-385.01806640625,667.6948852539062,217.37542724609375
data/images\Multimedia_42.jpg,1,2,4,9,450.0,1091.75,-414.17791748046875,700.8787841796875,184.1915283203125
data/images\Multimedia_42.jpg,1,2,5,10,443.20001220703125,1140.0,-449.94219970703125,734.2633666992188,150.80694580078125
data/images\Multimedia_42.jpg,2,1,1,1,1172.0,327.0,566.6155395507812,159.15969848632812,725.91064453125
data/images\Multimedia_42.jpg,2,1,2,2,1173.0,396.25,522.5365600585938,206.85398864746094,678.21630859375
data/images\Multimedia_42.jpg,2,1,3,3,1173.949951171875,465.5,478.4238586425781,254.54930114746094,630.52099609375
data/images\Multimedia_42.jpg,2,1,4,4,1174.0,534.75,433.7047119140625,302.2630615234375,582.8072509765625
data/images\Multimedia_42.jpg,2,1,5,5,1174.949951171875,604.0,389.5920104980469,349.9583740234375,535.1119384765625
data/images\Multimedia_42.jpg,2,2,1,6,1186.0,327.0,576.0504760742188,158.8729248046875,726.1973876953125
data/images\Multimedia_42.jpg,2,2,2,7,1189.0,396.25,533.3193359375,206.5262451171875,678.5440673828125
data/images\Multimedia_42.jpg,2,2,3,8,1192.0,465.5,490.5882263183594,254.1795654296875,630.8907470703125
data/images\Multimedia_42.jpg,2,2,4,9,1187.0,534.75,442.4657287597656,301.99676513671875,583.0735473632812
data/images\Multimedia_42.jpg,2,2,5,10,1178.0,604.0,391.64752197265625,349.8959045410156,535.1744384765625
