image_path,edge_id,border_id,border_point_id,global_point_id,x_px,y_px,x_mm,y_mm,distance_to_bottom_mm
data/images\Multimedia_36.jpg,1,1,1,1,254.0,931.0,117.14376068115234,608.964599609375,222.4571533203125
data/images\Multimedia_36.jpg,1,1,2,2,343.0,925.0,182.20050048828125,602.917236328125,228.5045166015625
data/images\Multimedia_36.jpg,1,1,3,3,432.0,924.5,247.16104125976562,600.7488403320312,230.67291259765625
data/images\Multimedia_36.jpg,1,1,4,4,521.0,923.0,312.1390686035156,597.8751831054688,233.54656982421875
data/images\Multimedia_36.jpg,1,1,5,5,610.0,921.5,377.1170959472656,595.0015869140625,236.420166015625
data/images\Multimedia_36.jpg,1,2,1,6,254.0,947.0,116.86393737792969,620.2490844726562,211.17266845703125
data/images\Multimedia_36.jpg,1,2,2,7,343.0,943.0,181.8856964111328,615.6122436523438,215.80950927734375
data/images\Multimedia_36.jpg,1,2,3,8,432.0,941.5,246.8637237548828,612.7385864257812,218.68316650390625
data/images\Multimedia_36.jpg,1,2,4,9,521.0,938.0,311.8767395019531,608.4544067382812,222.96734619140625
data/images\Multimedia_36.jpg,1,2,5,10,610.0,932.0,376.9334716796875,602.406982421875,229.0147705078125
