image_path,edge_id,border_id,border_point_id,global_point_id,x_px,y_px,x_mm,y_mm,distance_to_bottom_mm
data/images\Multimedia_45.jpg,1,1,1,1,218.0,889.5499877929688,107.28657531738281,573.0678100585938,270.38787841796875
data/images\Multimedia_45.jpg,1,1,2,2,303.25,889.9500122070312,168.7253875732422,572.146484375,271.3092041015625
data/images\Multimedia_45.jpg,1,1,3,3,388.5,893.5499877929688,230.14649963378906,573.53515625,269.9205322265625
data/images\Multimedia_45.jpg,1,1,4,4,473.75,894.0,291.58502197265625,572.6499633789062,270.80572509765625
data/images\Multimedia_45.jpg,1,1,5,5,559.0,895.0,353.0205383300781,572.1617431640625,271.2939453125
data/images\Multimedia_45.jpg,1,2,1,6,218.0,908.0,107.18445587158203,586.38671875,257.0689697265625
data/images\Multimedia_45.jpg,1,2,2,7,303.25,907.0499877929688,168.6307373046875,584.4907836914062,258.96490478515625
data/images\Multimedia_45.jpg,1,2,3,8,388.5,909.0,230.06097412109375,584.6884155273438,258.76727294921875
data/images\Multimedia_45.jpg,1,2,4,9,473.75,909.0,291.50201416015625,583.478271484375,259.9774169921875
data/images\Multimedia_45.jpg,1,2,5,10,559.0,908.75,352.9444274902344,582.0877075195312,261.36798095703125
data/images\Multimedia_45.jpg,2,1,1,1,708.0,896.0,460.40167236328125,570.7686157226562,272.68707275390625
data/images\Multimedia_45.jpg,2,1,2,2,790.75,893.0,520.0574951171875,567.4283447265625,276.02734375
data/images\Multimedia_45.jpg,2,1,3,3,873.5,884.5999755859375,579.7432250976562,560.1898193359375,283.265869140625
data/images\Multimedia_45.jpg,2,1,4,4,956.25,882.4000244140625,639.3946533203125,557.4270629882812,286.02862548828125
data/images\Multimedia_45.jpg,2,1,5,5,1039.0,877.0,699.0637817382812,552.354248046875,291.1014404296875
data/images\Multimedia_45.jpg,2,2,1,6,708.0,902.0,460.36846923828125,575.0999755859375,268.355712890625
data/images\Multimedia_45.jpg,2,2,2,7,790.75,899.0,520.0242919921875,571.7597045898438,271.69598388671875
data/images\Multimedia_45.jpg,2,2,3,8,873.5,896.0,579.68017578125,568.4193725585938,275.03631591796875
data/images\Multimedia_45.jpg,2,2,4,9,956.25,895.0,639.324951171875,566.5228881835938,276.93280029296875
data/images\Multimedia_45.jpg,2,2,5,10,1039.0,892.0,698.9807739257812,563.1826171875,280.2730712890625
