image_path,edge_id,border_id,border_point_id,global_point_id,x_px,y_px,x_mm,y_mm,distance_to_bottom_mm
data/images\Multimedia_34.jpg,1,1,1,1,291.1000061035156,882.0,-367.7178649902344,533.7633666992188,336.53070068359375
data/images\Multimedia_34.jpg,1,1,2,2,290.54998779296875,941.5,-404.6063537597656,571.7151489257812,298.57891845703125
data/images\Multimedia_34.jpg,1,1,3,3,288.70001220703125,1001.0,-442.321533203125,609.659423828125,260.6346435546875
data/images\Multimedia_34.jpg,1,1,4,4,287.8999938964844,1060.5,-479.3690185546875,647.6097412109375,222.684326171875
data/images\Multimedia_34.jpg,1,1,5,5,287.5,1120.0,-516.162109375,685.5625,184.7315673828125
data/images\Multimedia_34.jpg,1,2,1,6,292.8999938964844,882.0,-366.5731506347656,533.7738647460938,336.52020263671875
data/images\Multimedia_34.jpg,1,2,2,7,300.45001220703125,941.5,-398.3104248046875,571.7731323242188,298.52093505859375
data/images\Multimedia_34.jpg,1,2,3,8,301.29998779296875,1001.0,-434.30859375,609.733154296875,260.5609130859375
data/images\Multimedia_34.jpg,1,2,4,9,304.1000061035156,1060.5,-469.0666198730469,647.70458984375,222.5894775390625
data/images\Multimedia_34.jpg,1,2,5,10,296.5,1120.0,-510.43853759765625,685.6151733398438,184.67889404296875
data/images\Multimedia_34.jpg,2,1,1,1,1095.4000244140625,246.0,534.3426513671875,132.7679901123047,737.5260620117188
data/images\Multimedia_34.jpg,2,1,2,2,1090.4000244140625,325.25,482.49578857421875,183.2922821044922,687.0017700195312
data/images\Multimedia_34.jpg,2,1,3,3,1090.4000244140625,404.5,433.82867431640625,233.84585571289062,636.4482421875
data/images\Multimedia_34.jpg,2,1,4,4,1089.25,483.75,384.4302062988281,284.3927001953125,585.9013671875
data/images\Multimedia_34.jpg,2,1,5,5,1091.4000244140625,563.0,337.13043212890625,334.9588623046875,535.335205078125
data/images\Multimedia_34.jpg,2,2,1,6,1102.5999755859375,246.0,538.9214477539062,132.8101348876953,737.4839477539062
data/images\Multimedia_34.jpg,2,2,2,7,1115.5999755859375,325.25,498.521728515625,183.43983459472656,686.854248046875
data/images\Multimedia_34.jpg,2,2,3,8,1115.5999755859375,404.5,449.8546142578125,233.993408203125,636.3006591796875
data/images\Multimedia_34.jpg,2,2,4,9,1111.75,483.75,398.7391052246094,284.5244445800781,585.7696533203125
data/images\Multimedia_34.jpg,2,2,5,10,1098.5999755859375,563.0,341.709228515625,335.00103759765625,535.2930297851562
