image_path,edge_id,border_id,border_point_id,global_point_id,x_px,y_px,x_mm,y_mm,distance_to_bottom_mm
data/images\Multimedia_43.jpg,1,1,1,1,414.0,1040.0,-359.9653625488281,612.612548828125,272.66552734375
data/images\Multimedia_43.jpg,1,1,2,2,412.0,1060.75,-373.96484375,625.9818115234375,259.2962646484375
data/images\Multimedia_43.jpg,1,1,3,3,414.0,1081.5,-385.5095520019531,639.4869995117188,245.79107666015625
data/images\Multimedia_43.jpg,1,1,4,4,415.0,1102.25,-397.66796875,652.9581298828125,232.3199462890625
data/images\Multimedia_43.jpg,1,1,5,5,407.0,1123.0,-415.3495788574219,666.1235961914062,219.15447998046875
data/images\Multimedia_43.jpg,1,2,1,6,420.0,1040.0,-356.2832336425781,612.81640625,272.461669921875
data/images\Multimedia_43.jpg,1,2,2,7,421.70001220703125,1060.75,-368.0120544433594,626.3113403320312,258.96673583984375
data/images\Multimedia_43.jpg,1,2,3,8,422.0,1081.5,-380.60003662109375,639.7587280273438,245.51934814453125
data/images\Multimedia_43.jpg,1,2,4,9,422.0,1102.25,-393.37213134765625,653.1959838867188,232.08209228515625
data/images\Multimedia_43.jpg,1,2,5,10,425.0,1123.0,-404.30316162109375,666.7350463867188,218.54302978515625
data/images\Multimedia_43.jpg,2,1,1,1,1166.0,294.0,560.71044921875,155.06655883789062,730.2115478515625
data/images\Multimedia_43.jpg,2,1,2,2,1168.0,373.5,513.0037841796875,206.6168212890625,678.6612548828125
data/images\Multimedia_43.jpg,2,1,3,3,1170.0,453.0,465.297119140625,258.1670837402344,627.1109619140625
data/images\Multimedia_43.jpg,2,1,4,4,1169.0,532.5,415.7493896484375,309.61541748046875,575.6626586914062
data/images\Multimedia_43.jpg,2,1,5,5,1166.0,612.0,364.9742431640625,360.9958190917969,524.2822265625
data/images\Multimedia_43.jpg,2,2,1,6,1187.0,294.0,573.5979614257812,155.7799530029297,729.4981079101562
data/images\Multimedia_43.jpg,2,2,2,7,1190.0,373.5,526.5050048828125,207.36416625976562,677.9139404296875
data/images\Multimedia_43.jpg,2,2,3,8,1194.0,453.0,480.02569580078125,258.98236083984375,626.2957153320312
data/images\Multimedia_43.jpg,2,2,4,9,1190.0,532.5,428.63690185546875,310.32879638671875,574.9492797851562
data/images\Multimedia_43.jpg,2,2,5,10,1178.3499755859375,612.0,372.5533447265625,361.41534423828125,523.8627319335938
