image_path,edge_id,border_id,border_point_id,global_point_id,x_px,y_px,x_mm,y_mm,distance_to_bottom_mm
data/images\Multimedia_50.jpg,1,1,1,1,377.0,131.0,192.60804748535156,14.115418434143066,802.6309204101562
data/images\Multimedia_50.jpg,1,1,2,2,450.0,130.0,238.5815887451172,9.914403915405273,806.8319091796875
data/images\Multimedia_50.jpg,1,1,3,3,523.0,131.0,284.5425720214844,6.925395488739014,809.8209228515625
data/images\Multimedia_50.jpg,1,1,4,4,596.0,133.0,330.4972839355469,4.542389869689941,812.2039184570312
data/images\Multimedia_50.jpg,1,1,5,5,669.0,144.3000030517578,376.3935852050781,7.795213222503662,808.9511108398438
data/images\Multimedia_50.jpg,1,2,1,6,377.0,150.0,192.48873901367188,25.629474639892578,791.1168823242188
data/images\Multimedia_50.jpg,1,2,2,7,450.0,145.0,238.48739624023438,19.00444793701172,797.7418823242188
data/images\Multimedia_50.jpg,1,2,3,8,523.0,149.0,284.4295349121094,17.83344841003418,798.9129028320312
data/images\Multimedia_50.jpg,1,2,4,9,596.0,149.0,330.39678955078125,14.23843765258789,802.5078735351562
data/images\Multimedia_50.jpg,1,2,5,10,669.0,154.6999969482422,376.3282775878906,14.097640991210938,802.648681640625
