image_path,edge_id,border_id,border_point_id,global_point_id,x_px,y_px,x_mm,y_mm,distance_to_bottom_mm
data/images\Multimedia_35.jpg,1,1,1,1,734.0,945.0,478.9109802246094,608.33056640625,256.86944580078125
data/images\Multimedia_35.jpg,1,1,2,2,816.0,940.0,538.974853515625,603.115234375,262.08477783203125
data/images\Multimedia_35.jpg,1,1,3,3,898.0,932.0,599.08837890625,595.7843017578125,269.41571044921875
data/images\Multimedia_35.jpg,1,1,4,4,980.0,930.0,659.1026000976562,592.6845092773438,272.5155029296875
data/images\Multimedia_35.jpg,1,1,5,5,1062.0,925.0,719.1664428710938,587.4691772460938,277.7308349609375
data/images\Multimedia_35.jpg,1,2,1,6,734.0,957.0,478.7122497558594,616.7930297851562,248.406982421875
data/images\Multimedia_35.jpg,1,2,2,7,816.0,954.0,538.7429809570312,612.9880981445312,252.2119140625
data/images\Multimedia_35.jpg,1,2,3,8,898.0,949.3499755859375,598.801025390625,608.01953125,257.18048095703125
data/images\Multimedia_35.jpg,1,2,4,9,980.0,949.0,658.7879028320312,606.0833740234375,259.11663818359375
data/images\Multimedia_35.jpg,1,2,5,10,1062.0,945.0,718.835205078125,601.5732421875,263.62677001953125
