image_path,edge_id,border_id,border_point_id,global_point_id,x_px,y_px,x_mm,y_mm,distance_to_bottom_mm
data/images\Multimedia_50.jpg,1,1,1,1,812.0,1468.800048828125,458.1224365234375,803.4038696289062,13.34246826171875
data/images\Multimedia_50.jpg,1,1,2,2,939.75,1464.0,538.5952758789062,794.2037963867188,22.54254150390625
data/images\Multimedia_50.jpg,1,1,3,3,1067.5,1453.0,619.1070556640625,781.2464599609375,35.4998779296875
data/images\Multimedia_50.jpg,1,1,4,4,1195.25,1399.0,699.8888549804688,742.2310180664062,74.51531982421875
data/images\Multimedia_50.jpg,1,1,5,5,1323.0,1402.0,780.3126831054688,737.7577514648438,78.98858642578125
data/images\Multimedia_50.jpg,1,2,1,6,812.0,1481.199951171875,458.0445861816406,810.9182739257812,5.82806396484375
data/images\Multimedia_50.jpg,1,2,2,7,939.75,1481.1500244140625,538.4876098632812,804.5967407226562,12.14959716796875
data/images\Multimedia_50.jpg,1,2,3,8,1067.5,1481.0,618.9312133789062,798.2145385742188,18.53179931640625
data/images\Multimedia_50.jpg,1,2,4,9,1195.25,1478.0,699.3927612304688,790.1052856445312,26.64105224609375
data/images\Multimedia_50.jpg,1,2,5,10,1323.0,1412.5,780.2467651367188,744.1207885742188,72.62554931640625
