image_path,edge_id,border_id,border_point_id,global_point_id,x_px,y_px,x_mm,y_mm,distance_to_bottom_mm
data/images\Multimedia_46.jpg,1,1,1,1,700.0,884.0,451.0075988769531,581.3787231445312,256.93365478515625
data/images\Multimedia_46.jpg,1,1,2,2,781.0,881.0,509.4737854003906,578.0894165039062,260.22296142578125
data/images\Multimedia_46.jpg,1,1,3,3,862.0,873.5,567.9680786132812,571.4702758789062,266.84210205078125
data/images\Multimedia_46.jpg,1,1,4,4,943.0,871.1500244140625,626.43017578125,568.6619873046875,269.650390625
data/images\Multimedia_46.jpg,1,1,5,5,1024.0,867.0,684.903564453125,564.521728515625,273.7906494140625
data/images\Multimedia_46.jpg,1,2,1,6,700.0,890.0,450.97015380859375,585.8184814453125,252.493896484375
data/images\Multimedia_46.jpg,1,2,2,7,781.0,887.0,509.4363708496094,582.5292358398438,255.78314208984375
data/images\Multimedia_46.jpg,1,2,3,8,862.0,884.5,567.8994140625,579.6099243164062,258.70245361328125
data/images\Multimedia_46.jpg,1,2,4,9,943.0,884.0,626.3500366210938,578.1705932617188,260.14178466796875
data/images\Multimedia_46.jpg,1,2,5,10,1024.0,881.2000122070312,684.8150024414062,575.029296875,263.2830810546875
data/images\Multimedia_46.jpg,2,1,1,1,218.0,870.75,103.29165649414062,577.9375,260.3748779296875
data/images\Multimedia_46.jpg,2,1,2,2,300.75,873.0,162.98785400390625,578.510009765625,259.8023681640625
data/images\Multimedia_46.jpg,2,1,3,3,383.5,877.0999755859375,222.67251586914062,580.4513549804688,257.86102294921875
data/images\Multimedia_46.jpg,2,1,4,4,466.25,879.0,282.37091064453125,580.7648315429688,257.54754638671875
data/images\Multimedia_46.jpg,2,1,5,5,549.0,879.0,342.0811462402344,579.67236328125,258.6400146484375
data/images\Multimedia_46.jpg,2,2,1,6,218.0,889.0,103.17781066894531,591.4419555664062,246.87042236328125
data/images\Multimedia_46.jpg,2,2,2,7,300.75,889.7999877929688,162.883056640625,590.9414672851562,247.37091064453125
data/images\Multimedia_46.jpg,2,2,3,8,383.5,892.0,222.57955932617188,591.4769287109375,246.83544921875
data/images\Multimedia_46.jpg,2,2,4,9,466.25,892.0,282.289794921875,590.3844604492188,247.92791748046875
data/images\Multimedia_46.jpg,2,2,5,10,549.0,892.3499755859375,341.99786376953125,589.5509643554688,248.76141357421875
